"Zip/Postal Code","Postcode"
"State/Province","Provincie"
"Billing address","Factuuradres"
"Already registered? Click here to login.","Al geregistreerd? Klik hier om in te loggen."
"Create an account for later use","Maak een account om later weer te gebruiken"
"Ship to the same address","Verzend naar hetzelfde adres"
"Shipping method","Verzendmethode"
"Payment method","Betaalmethode"
"Review your order","Controleer jouw bestelling"
"Product","Product"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Subscribe to our newsletter","Schrijf je in op onze nieuwsbrief"
"Tax","BTW"
"Grand total","Totaal"
"Please choose a shipping method.","Kies a.u.b. een verzendmethode."
"Please choose a payment method.","Kies a.u.b. een betaalmethode."
"Please enter valid details below.","Voer hieronder geldige details in."
"Please check red fields below and try again.","Contoleer a.u.b. de rode velden hieronder en probeer het nog een keer."
"Login","Log in"
"Please login with your email address and password.","Log a.u.b. in met jouw emailadres en wachtwoord."
"Email address","Emailadres"
"Password","Wachtwoord"
"Confirm password","Bevestig wachtwoord"
"Forgotten your password?","Jouw wachtwoord vergeten?"
"Close","Sluit"
"Login","Log in"
"Please enter a username and password.","Voer a.u.b. een inlognaam en wachtwoord in."
"Invalid login or password.","Jouw wachtwoord of inlognaam is niet correct."
"Enter your email below and we'll send you a new password by email.","Voer hieronder jouw emailadres in en we sturen jou een nieuw wachtwoord."
"Send password","Verstuur wachtwoord"
"Return to login","Ga terug naar log in."
"Please enter a valid email address","Voer a.u.b. een geldig emailadres in."
"Please enter a registered email address.","Voer a.u.b. een geregistreerd emailadres in."
"Invalid email address.","Ongeldig emailadres."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Dit emailadres is al geregistreerd. <a href=""#"" onclick=""login_popup.show(); return false;"">Log nu in</a> of gebruik een andere emailadres."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","Ik accepteer de <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">algemene voorwaarden</a>"
"Comments","Commentaar"
"You need to have products in your cart to checkout, and your cart is empty.","Jij moet producten in jouw winkelwagen hebben om af te rekenen, maar jouw winkelwagen is leeg."
"Back to homepage","Terug naar de homepage"
"Coupon code:","Kortingsbon code:"
"Apply Coupon","Gebruik kortingsbon"
"Please enter a valid coupon code.","Voer een geldige kortingsbon in."
"Cancel Coupon","Annuleer kortingsbon"
"Shipping address","Verzendares"
"How did you hear about us?","Hoe heb jij van ons gehoord?"
"Please choose","Kies a.u.b."
"Other","Ander"
"Please specify:","Specificeer a.u.b.:"
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""javascript:void(0);"">Terms and Conditions</a>","Ik accepteer de <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""javascript:void(0);"">Algemene voorwaarden</a>"
"Place order now","Plaats nu jouw bestelling"
"Please wait, processing your order...","Een ogenblik geduld, wij verwerken jouw bestelling"
